iter	MultiClass
0	1.012908789
1	0.9368080452
2	0.881059501
3	0.8220241535
4	0.774197411
5	0.722484297
6	0.6866012909
7	0.645990041
8	0.6070560241
9	0.5724714544
10	0.5462917489
11	0.5199962552
12	0.4948088058
13	0.4733696368
14	0.448425945
15	0.4284378912
16	0.4065131943
17	0.3897954473
18	0.3734100369
19	0.3583227749
20	0.3445537236
21	0.3310723073
22	0.3166373698
23	0.3030533902
24	0.2924167827
25	0.2805867504
26	0.2715725652
27	0.2621274923
28	0.2531904413
29	0.2430746318
30	0.2353029517
31	0.2276806589
32	0.2188489113
33	0.2123618082
34	0.2054142658
35	0.1975750848
36	0.1915891967
37	0.186262241
38	0.1812421144
39	0.176415656
40	0.1712614952
41	0.16743462
42	0.1632331036
43	0.1586787822
44	0.1555644791
45	0.1521326907
46	0.1487978637
47	0.1456725213
48	0.1415533104
49	0.1385057949
50	0.1346855279
51	0.131989827
52	0.1294767137
53	0.1271341093
54	0.1246987182
55	0.1222544283
56	0.11982848
57	0.1170618177
58	0.1148908177
59	0.1127328346
60	0.11058267
61	0.1082105426
62	0.1065903726
63	0.1043505533
64	0.1018090145
65	0.09980908053
66	0.09782346241
67	0.09595549477
68	0.09469470314
69	0.09359718556
70	0.09170027244
71	0.08984248607
72	0.08808149159
73	0.08647042095
74	0.08521094064
75	0.08382563002
76	0.08251170346
77	0.0813913002
78	0.08015367715
79	0.0788203204
80	0.07767306916
81	0.07700466355
82	0.0756362164
83	0.07411771353
84	0.07284153507
85	0.07219363547
86	0.07101206772
87	0.07010494294
88	0.06891910725
89	0.06819640807
90	0.0670855968
91	0.06584901975
92	0.06470799283
93	0.06347126685
94	0.06272437007
95	0.06190931702
96	0.06085683568
97	0.0600589969
98	0.05946950185
99	0.05863116646
100	0.05805566403
101	0.05704379423
102	0.05644005071
103	0.05580389431
104	0.05497568099
105	0.05425526799
106	0.05355404263
107	0.05299921629
108	0.0523555801
109	0.05162454884
110	0.05087091672
111	0.04997121863
112	0.04946141487
113	0.04886757118
114	0.04846150393
115	0.04794911961
116	0.04736427215
117	0.04687589786
118	0.04642929928
119	0.04569956227
120	0.04519270368
121	0.04471214408
122	0.04426475619
123	0.04383622494
124	0.04332946154
125	0.04278758002
126	0.04229237693
127	0.04173424466
128	0.04126857889
129	0.0409317454
130	0.04043123816
131	0.04010003138
132	0.03968369725
133	0.03939779126
134	0.03904956521
135	0.0385910575
136	0.03817000063
137	0.03777727861
138	0.03749298353
139	0.03715618916
140	0.03677000456
141	0.03647967365
142	0.03608109991
143	0.03575996603
144	0.03540058564
145	0.03511386679
146	0.03487250618
147	0.03459341577
148	0.03438935343
149	0.03411334764
150	0.03384974278
151	0.03350908662
152	0.03326851988
153	0.03296242302
154	0.0326744347
155	0.03246475727
156	0.0322386987
157	0.03197906684
158	0.03170997038
159	0.03141849652
160	0.03122317402
161	0.03096709757
162	0.030701033
163	0.0304373481
164	0.03020440229
165	0.02999187192
166	0.02972887127
167	0.0295118042
